,Sales Person,Country,Product,Date,Amount,Boxes Shipped
337,Jehu Rudeforth,Australia,Peanut Butter Cubes,24-Jun-22,"$5,691 ",38
338,Marney O'Breen,India,Eclairs,13-Jan-22,"$3,472 ",96
339,Curtice Advani,Canada,Fruit & Nut Bars,04-Apr-22,"$4,193 ",195
340,Kaine Padly,UK,Smooth Sliky Salty,08-Jun-22,"$9,016 ",554
341,Karlen McCaffrey,Canada,Spicy Special Slims,02-Aug-22,"$6,328 ",47
342,Kelci Walkden,USA,Organic Choco Syrup,21-Jul-22,"$9,870 ",152
343,Curtice Advani,India,Spicy Special Slims,20-Jun-22,$161 ,134
344,Roddy Speechley,India,After Nines,22-Jun-22,"$2,576 ",112
345,Camilla Castle,Australia,Caramel Stuffed Bars,02-May-22,"$3,178 ",16
346,Curtice Advani,Australia,99% Dark & Pure,07-Jan-22,"$4,676 ",84
347,Mallorie Waber,UK,50% Dark Bites,21-Feb-22,"$5,502 ",99
348,Ches Bonnell,Canada,Baker's Choco Chips,21-Mar-22,"$7,462 ",371
349,Van Tuxwell,UK,Drinking Coco,04-Apr-22,"$5,803 ",136
350,Gunar Cockshoot,Canada,Fruit & Nut Bars,24-Mar-22,"$13,888 ",203
351,Gunar Cockshoot,New Zealand,Spicy Special Slims,28-Jun-22,"$6,867 ",183
352,Gunar Cockshoot,Australia,Drinking Coco,14-Jan-22,"$2,317 ",195
353,Karlen McCaffrey,New Zealand,Fruit & Nut Bars,07-Feb-22,"$1,218 ",135
354,Dennison Crosswaite,New Zealand,Drinking Coco,11-Jan-22,"$4,109 ",197
355,Jehu Rudeforth,India,99% Dark & Pure,25-Feb-22,"$1,953 ",242
356,Dotty Strutley,Australia,Mint Chip Choco,01-Aug-22,"$6,790 ",25
357,Roddy Speechley,Australia,Mint Chip Choco,05-May-22,"$6,797 ",252
358,Madelene Upcott,New Zealand,Raspberry Choco,18-May-22,"$9,226 ",415
359,Dotty Strutley,New Zealand,Choco Coated Almonds,04-Jan-22,"$5,733 ",348
360,Roddy Speechley,New Zealand,50% Dark Bites,09-May-22,"$4,312 ",211
361,Rafaelita Blaksland,India,Smooth Sliky Salty,06-May-22,"$1,638 ",81
362,Husein Augar,UK,White Choc,13-Jan-22,"$10,815 ",145
363,Roddy Speechley,Australia,Almond Choco,24-Jun-22,"$4,466 ",74
364,Van Tuxwell,USA,Caramel Stuffed Bars,14-Feb-22,$987 ,21
365,Camilla Castle,Australia,99% Dark & Pure,18-Jan-22,"$4,669 ",101
366,Kaine Padly,India,Milk Bars,02-May-22,"$2,905 ",91
367,Ches Bonnell,Australia,Smooth Sliky Salty,16-May-22,"$7,490 ",54
368,Mallorie Waber,USA,Almond Choco,28-Jan-22,"$6,986 ",368
369,Kaine Padly,Canada,99% Dark & Pure,24-Jun-22,"$1,288 ",409
370,Oby Sorrel,UK,After Nines,18-Jul-22,"$2,345 ",104
371,Gunar Cockshoot,UK,Eclairs,13-Apr-22,"$3,619 ",164
372,Dotty Strutley,USA,Caramel Stuffed Bars,15-Apr-22,"$16,982 ",76
373,Jan Morforth,India,Peanut Butter Cubes,04-Jan-22,"$8,092 ",178
374,Husein Augar,Australia,Eclairs,04-Jul-22,"$6,993 ",31
375,Beverie Moffet,USA,Smooth Sliky Salty,24-Mar-22,"$2,317 ",352
376,Camilla Castle,Australia,Manuka Honey Choco,17-Mar-22,$637 ,169
377,Oby Sorrel,Australia,Almond Choco,15-Feb-22,"$6,034 ",223
378,Jan Morforth,USA,Orange Choco,29-Jun-22,$980 ,146
379,Gigi Bohling,USA,Fruit & Nut Bars,24-May-22,"$2,821 ",112
380,Mallorie Waber,UK,Milk Bars,10-Jan-22,"$3,563 ",284
381,Curtice Advani,USA,Raspberry Choco,15-Mar-22,"$2,996 ",139
382,Marney O'Breen,Canada,Milk Bars,08-Feb-22,"$2,436 ",309
383,Brien Boise,India,Caramel Stuffed Bars,25-Feb-22,"$1,540 ",100
384,Gunar Cockshoot,USA,Eclairs,03-May-22,"$6,916 ",42
385,Roddy Speechley,USA,Fruit & Nut Bars,14-Jun-22,"$5,509 ",24
386,Gunar Cockshoot,India,50% Dark Bites,09-Aug-22,"$12,992 ",83
387,Wilone O'Kielt,New Zealand,Manuka Honey Choco,11-Jul-22,"$3,724 ",234
388,Kaine Padly,UK,Manuka Honey Choco,14-Jan-22,"$7,133 ",118
389,Van Tuxwell,Canada,Manuka Honey Choco,24-Feb-22,"$8,617 ",46
390,Wilone O'Kielt,New Zealand,Almond Choco,15-Mar-22,"$9,198 ",144
391,Oby Sorrel,New Zealand,Baker's Choco Chips,25-Apr-22,"$11,823 ",47
392,Dennison Crosswaite,Australia,Organic Choco Syrup,10-May-22,"$5,775 ",41
393,Marney O'Breen,Australia,Spicy Special Slims,23-Jun-22,"$13,125 ",275
394,Beverie Moffet,Canada,Smooth Sliky Salty,28-Feb-22,"$14,287 ",370
395,Brien Boise,USA,Organic Choco Syrup,25-May-22,"$16,233 ",138
396,Roddy Speechley,New Zealand,Baker's Choco Chips,22-Feb-22,"$5,313 ",215
397,Van Tuxwell,UK,85% Dark Bars,11-Jul-22,"$3,577 ",134
398,Marney O'Breen,Canada,Spicy Special Slims,03-Jan-22,"$3,528 ",336
399,Rafaelita Blaksland,New Zealand,70% Dark Bites,24-Aug-22,$679 ,280
400,Beverie Moffet,USA,50% Dark Bites,28-Jul-22,"$2,450 ",352
401,Brien Boise,USA,Mint Chip Choco,25-May-22,"$10,577 ",150
402,Karlen McCaffrey,New Zealand,Eclairs,06-May-22,"$2,597 ",177
403,Barr Faughny,India,Drinking Coco,28-Jan-22,"$2,219 ",142
404,Marney O'Breen,UK,Orange Choco,06-Jun-22,"$11,319 ",12
405,Brien Boise,New Zealand,Baker's Choco Chips,12-Jul-22,"$5,978 ",24
406,Ches Bonnell,Canada,Spicy Special Slims,05-Aug-22,"$5,327 ",183
407,Brien Boise,USA,Orange Choco,28-Jan-22,"$6,020 ",147
408,Kaine Padly,India,Spicy Special Slims,31-Aug-22,"$5,614 ",137
409,Mallorie Waber,USA,50% Dark Bites,19-Apr-22,"$1,736 ",13
410,Mallorie Waber,UK,Mint Chip Choco,29-Jun-22,"$6,384 ",2
411,Beverie Moffet,India,Choco Coated Almonds,24-Feb-22,"$3,577 ",261
412,Madelene Upcott,UK,Smooth Sliky Salty,04-Mar-22,"$14,539 ",84
413,Gigi Bohling,India,Eclairs,21-Jun-22,"$3,493 ",68
414,Rafaelita Blaksland,Australia,Organic Choco Syrup,26-Jan-22,$994 ,105
415,Oby Sorrel,New Zealand,White Choc,10-Jun-22,"$4,361 ",40
416,Andria Kimpton,UK,Drinking Coco,23-May-22,"$1,554 ",65
417,Kelci Walkden,India,Milk Bars,15-Apr-22,$966 ,107
418,Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,31-Jan-22,"$5,334 ",227
419,Andria Kimpton,New Zealand,Organic Choco Syrup,04-Mar-22,"$4,935 ",39
420,Barr Faughny,New Zealand,After Nines,19-Apr-22,"$10,024 ",84
421,Beverie Moffet,UK,Almond Choco,16-May-22,"$2,506 ",100
422,Oby Sorrel,Australia,Raspberry Choco,17-Feb-22,"$1,043 ",120
423,Dennison Crosswaite,USA,Raspberry Choco,18-Jan-22,"$6,524 ",257
424,Roddy Speechley,Canada,Orange Choco,09-Feb-22,"$8,148 ",85
425,Mallorie Waber,Canada,Orange Choco,23-Mar-22,"$3,577 ",178
426,Madelene Upcott,New Zealand,Caramel Stuffed Bars,01-Feb-22,"$3,374 ",151
427,Mallorie Waber,India,Drinking Coco,07-Mar-22,"$3,948 ",142
428,Ches Bonnell,UK,White Choc,03-Jan-22,"$3,269 ",226
429,Ches Bonnell,USA,White Choc,11-Feb-22,"$5,271 ",341
430,Dennison Crosswaite,New Zealand,Orange Choco,16-Mar-22,"$4,571 ",140
431,Dotty Strutley,India,White Choc,15-Aug-22,"$12,327 ",330
432,Gigi Bohling,India,Manuka Honey Choco,12-May-22,"$4,935 ",73
433,Van Tuxwell,India,Spicy Special Slims,11-Apr-22,"$6,167 ",4
434,Jan Morforth,New Zealand,Mint Chip Choco,30-Jun-22,"$18,340 ",285
435,Dotty Strutley,New Zealand,White Choc,15-Jun-22,"$7,014 ",60
436,Rafaelita Blaksland,Canada,Caramel Stuffed Bars,01-Aug-22,"$7,119 ",101
437,Kaine Padly,USA,Milk Bars,15-Jun-22,"$15,491 ",58
438,Brien Boise,India,After Nines,16-Jun-22,"$5,747 ",45
439,Oby Sorrel,New Zealand,Raspberry Choco,13-May-22,"$4,550 ",281
440,Dennison Crosswaite,USA,Drinking Coco,10-May-22,"$2,191 ",138
441,Oby Sorrel,India,Eclairs,25-Aug-22,"$5,663 ",322
442,Ches Bonnell,New Zealand,Organic Choco Syrup,15-Jul-22,"$7,623 ",85
443,Gigi Bohling,UK,Baker's Choco Chips,16-May-22,"$9,023 ",409
444,Jan Morforth,Australia,50% Dark Bites,14-Jun-22,"$3,402 ",182
445,Beverie Moffet,Australia,Smooth Sliky Salty,25-Jan-22,"$10,507 ",467
446,Ches Bonnell,USA,Organic Choco Syrup,28-Jul-22,"$7,721 ",14
447,Brien Boise,Canada,Mint Chip Choco,28-Jan-22,"$5,033 ",178
448,Kaine Padly,UK,Orange Choco,29-Jun-22,"$1,960 ",191
449,Karlen McCaffrey,Australia,70% Dark Bites,24-Jun-22,$238 ,317
450,Gunar Cockshoot,Canada,Mint Chip Choco,01-Jul-22,"$7,756 ",410
451,Roddy Speechley,USA,Peanut Butter Cubes,25-Feb-22,"$1,736 ",137
452,Curtice Advani,Canada,Smooth Sliky Salty,01-Aug-22,"$2,660 ",12
453,Oby Sorrel,Australia,Milk Bars,21-Jun-22,"$7,672 ",254
454,Camilla Castle,New Zealand,Spicy Special Slims,25-Jan-22,"$11,564 ",24
455,Gigi Bohling,UK,Milk Bars,17-May-22,"$1,365 ",232
456,Andria Kimpton,Australia,85% Dark Bars,23-Aug-22,"$4,186 ",233
457,Camilla Castle,Australia,Smooth Sliky Salty,03-Mar-22,"$7,406 ",118
458,Roddy Speechley,India,Caramel Stuffed Bars,30-May-22,"$8,911 ",543
459,Karlen McCaffrey,USA,Drinking Coco,29-Jun-22,$112 ,223
460,Andria Kimpton,Canada,Organic Choco Syrup,04-Jan-22,"$8,204 ",204
461,Jehu Rudeforth,Australia,Drinking Coco,14-Jan-22,"$2,611 ",65
462,Karlen McCaffrey,USA,Mint Chip Choco,15-Feb-22,"$15,652 ",53
463,Curtice Advani,New Zealand,Spicy Special Slims,10-Jan-22,"$4,074 ",469
464,Madelene Upcott,USA,White Choc,04-May-22,"$12,250 ",213
465,Andria Kimpton,USA,Spicy Special Slims,23-May-22,"$2,366 ",5
466,Barr Faughny,New Zealand,Fruit & Nut Bars,26-Apr-22,"$1,687 ",147
467,Oby Sorrel,Canada,Organic Choco Syrup,05-Jul-22,"$1,232 ",74
468,Madelene Upcott,UK,Organic Choco Syrup,21-Jul-22,"$6,965 ",163
469,Dotty Strutley,USA,Mint Chip Choco,21-Feb-22,"$5,292 ",248
470,Kelci Walkden,USA,Orange Choco,03-Feb-22,"$1,379 ",138
471,Gigi Bohling,Australia,Caramel Stuffed Bars,08-Jul-22,"$8,001 ",151
472,Mallorie Waber,India,50% Dark Bites,31-May-22,$588 ,139
473,Van Tuxwell,New Zealand,Mint Chip Choco,27-Jun-22,"$4,046 ",103
474,Van Tuxwell,India,50% Dark Bites,13-May-22,"$5,103 ",129
475,Van Tuxwell,USA,Manuka Honey Choco,31-May-22,"$2,317 ",102
476,Wilone O'Kielt,USA,Orange Choco,28-Feb-22,"$7,042 ",37
477,Barr Faughny,New Zealand,Eclairs,28-Mar-22,"$6,713 ",31
478,Gigi Bohling,USA,After Nines,14-Jan-22,"$1,848 ",227
479,Barr Faughny,New Zealand,Mint Chip Choco,21-Feb-22,"$6,440 ",145
480,Dennison Crosswaite,Canada,85% Dark Bars,01-Aug-22,"$10,885 ",90
481,Beverie Moffet,New Zealand,Smooth Sliky Salty,19-May-22,"$2,387 ",59
482,Husein Augar,USA,White Choc,13-Jul-22,"$2,030 ",60
483,Andria Kimpton,Australia,Peanut Butter Cubes,20-Apr-22,"$6,678 ",148
484,Dennison Crosswaite,India,85% Dark Bars,30-Jun-22,"$4,515 ",22
485,Curtice Advani,UK,50% Dark Bites,08-Mar-22,"$3,374 ",142
486,Gunar Cockshoot,USA,Fruit & Nut Bars,09-Mar-22,"$5,852 ",93
487,Oby Sorrel,Canada,Raspberry Choco,16-Jun-22,"$1,750 ",208
488,Gigi Bohling,UK,Drinking Coco,30-Jun-22,"$5,782 ",42
489,Kelci Walkden,India,Mint Chip Choco,28-Jul-22,"$2,870 ",120
490,Karlen McCaffrey,Canada,Peanut Butter Cubes,12-Aug-22,"$3,094 ",159
491,Barr Faughny,UK,Mint Chip Choco,07-Jul-22,"$3,724 ",316
492,Barr Faughny,USA,85% Dark Bars,25-Aug-22,"$12,761 ",47
493,Husein Augar,Canada,Eclairs,17-Jan-22,"$3,696 ",233
494,Jan Morforth,Australia,70% Dark Bites,04-Mar-22,"$5,222 ",384
495,Marney O'Breen,New Zealand,Fruit & Nut Bars,25-Aug-22,"$8,939 ",4
496,Ches Bonnell,UK,Peanut Butter Cubes,15-Apr-22,"$2,156 ",260
497,Kaine Padly,USA,Organic Choco Syrup,11-Mar-22,"$2,380 ",22
498,Camilla Castle,USA,Raspberry Choco,20-May-22,"$3,339 ",18
499,Brien Boise,New Zealand,Manuka Honey Choco,14-Jun-22,"$14,980 ",42
500,Jehu Rudeforth,New Zealand,After Nines,14-Apr-22,"$1,512 ",73
501,Jehu Rudeforth,USA,Smooth Sliky Salty,07-Jul-22,"$6,657 ",154
502,Madelene Upcott,India,Mint Chip Choco,24-Aug-22,"$3,836 ",71
503,Jehu Rudeforth,India,Eclairs,24-Feb-22,"$8,771 ",127
504,Karlen McCaffrey,Canada,Raspberry Choco,09-May-22,$651 ,224
505,Kaine Padly,Australia,70% Dark Bites,08-Feb-22,"$6,706 ",223
506,Roddy Speechley,UK,70% Dark Bites,24-Mar-22,"$1,421 ",284
507,Rafaelita Blaksland,USA,Drinking Coco,20-Jun-22,"$8,526 ",73
508,Mallorie Waber,Canada,Manuka Honey Choco,07-Mar-22,"$1,435 ",112
509,Kaine Padly,Australia,Fruit & Nut Bars,20-Jun-22,"$7,434 ",85
510,Oby Sorrel,New Zealand,Organic Choco Syrup,17-Feb-22,"$15,316 ",270
511,Madelene Upcott,UK,99% Dark & Pure,26-Jan-22,"$10,479 ",45
512,Madelene Upcott,Australia,Mint Chip Choco,02-May-22,"$2,751 ",153
513,Curtice Advani,Canada,99% Dark & Pure,07-Jul-22,"$12,586 ",7
514,Rafaelita Blaksland,Australia,Baker's Choco Chips,22-Aug-22,"$2,786 ",51
515,Karlen McCaffrey,Australia,After Nines,11-Aug-22,"$2,303 ",67
516,Marney O'Breen,UK,99% Dark & Pure,13-Jan-22,"$8,113 ",194
517,Gunar Cockshoot,Australia,50% Dark Bites,02-Mar-22,"$12,271 ",116
518,Marney O'Breen,Australia,Choco Coated Almonds,27-Jul-22,"$11,298 ",41
519,Kelci Walkden,New Zealand,Drinking Coco,10-Mar-22,"$15,855 ",111
520,Beverie Moffet,USA,85% Dark Bars,23-Aug-22,"$12,404 ",334
521,Roddy Speechley,USA,Eclairs,25-Apr-22,"$3,990 ",155
522,Dennison Crosswaite,UK,Milk Bars,07-Mar-22,"$10,808 ",407
523,Wilone O'Kielt,UK,Organic Choco Syrup,12-Jul-22,"$4,858 ",52
524,Madelene Upcott,USA,Orange Choco,16-May-22,"$7,742 ",138
525,Gunar Cockshoot,India,Smooth Sliky Salty,02-Mar-22,"$3,752 ",70
526,Marney O'Breen,New Zealand,85% Dark Bars,30-May-22,"$1,218 ",149
527,Marney O'Breen,UK,Manuka Honey Choco,10-Jun-22,"$10,983 ",179
528,Brien Boise,USA,99% Dark & Pure,25-Jul-22,"$6,769 ",353
529,Beverie Moffet,New Zealand,Mint Chip Choco,09-Jun-22,"$4,361 ",97
530,Dennison Crosswaite,USA,Milk Bars,12-May-22,$777 ,60
531,Gunar Cockshoot,USA,Drinking Coco,09-May-22,"$3,843 ",5
532,Brien Boise,Canada,Manuka Honey Choco,09-Aug-22,"$6,930 ",182
533,Van Tuxwell,India,Choco Coated Almonds,13-Apr-22,"$5,733 ",114
534,Andria Kimpton,USA,Caramel Stuffed Bars,02-May-22,"$8,393 ",46
535,Dotty Strutley,USA,99% Dark & Pure,09-Aug-22,"$3,822 ",320
536,Camilla Castle,Australia,Raspberry Choco,23-Aug-22,"$6,342 ",178
537,Gunar Cockshoot,India,Spicy Special Slims,13-May-22,"$6,510 ",170
538,Karlen McCaffrey,USA,Manuka Honey Choco,01-Feb-22,"$10,171 ",67
539,Camilla Castle,USA,50% Dark Bites,23-Jun-22,"$5,908 ",301
540,Madelene Upcott,UK,Choco Coated Almonds,24-May-22,"$10,164 ",134
541,Jan Morforth,Canada,Mint Chip Choco,01-Apr-22,"$1,064 ",211
542,Camilla Castle,Canada,70% Dark Bites,27-Jul-22,"$9,716 ",151
543,Ches Bonnell,India,Peanut Butter Cubes,27-Jan-22,"$22,050 ",208
544,Jan Morforth,India,Choco Coated Almonds,12-Aug-22,"$2,541 ",134
545,Gigi Bohling,Canada,Almond Choco,01-Feb-22,"$9,989 ",49
546,Rafaelita Blaksland,India,After Nines,02-Mar-22,"$4,739 ",204
547,Kelci Walkden,Australia,99% Dark & Pure,30-Jun-22,"$3,185 ",34
548,Dotty Strutley,Australia,Spicy Special Slims,17-Jan-22,"$8,225 ",91
549,Brien Boise,USA,Milk Bars,07-Jul-22,"$14,301 ",130
550,Mallorie Waber,New Zealand,Mint Chip Choco,31-Jan-22,"$1,316 ",107
551,Beverie Moffet,UK,99% Dark & Pure,10-Aug-22,"$3,486 ",121
552,Beverie Moffet,USA,Peanut Butter Cubes,18-Aug-22,"$13,930 ",339
553,Brien Boise,New Zealand,White Choc,15-Jun-22,"$5,509 ",321
554,Marney O'Breen,USA,Baker's Choco Chips,26-Jan-22,"$8,470 ",9
555,Kelci Walkden,USA,Spicy Special Slims,29-Apr-22,$77 ,69
556,Mallorie Waber,Canada,White Choc,03-Mar-22,"$3,381 ",72
557,Kaine Padly,Australia,Almond Choco,22-Feb-22,"$4,102 ",392
558,Oby Sorrel,USA,Smooth Sliky Salty,04-Mar-22,"$3,577 ",158
559,Dennison Crosswaite,India,Smooth Sliky Salty,07-Jul-22,"$2,975 ",9
560,Camilla Castle,New Zealand,Caramel Stuffed Bars,17-Jun-22,"$4,137 ",347
561,Jan Morforth,Canada,Caramel Stuffed Bars,02-Aug-22,"$9,541 ",114
562,Oby Sorrel,USA,Baker's Choco Chips,12-Aug-22,"$8,001 ",120
563,Madelene Upcott,New Zealand,Peanut Butter Cubes,28-Jan-22,"$5,152 ",333
564,Kelci Walkden,Australia,Orange Choco,29-Apr-22,"$11,116 ",432
565,Marney O'Breen,Australia,Manuka Honey Choco,05-Apr-22,"$13,076 ",236
566,Kaine Padly,Canada,Manuka Honey Choco,18-Jan-22,"$10,213 ",135
567,Jehu Rudeforth,UK,Baker's Choco Chips,16-May-22,"$2,485 ",97
568,Kelci Walkden,Australia,White Choc,24-Aug-22,"$8,715 ",168
569,Curtice Advani,India,85% Dark Bars,18-Jan-22,$273 ,402
570,Kaine Padly,USA,Eclairs,22-Aug-22,"$7,623 ",10
571,Gunar Cockshoot,UK,99% Dark & Pure,07-Mar-22,$7 ,84
572,Beverie Moffet,UK,Choco Coated Almonds,04-Mar-22,"$3,010 ",69
573,Dotty Strutley,Canada,Manuka Honey Choco,22-Apr-22,"$11,550 ",111
574,Kaine Padly,Australia,Milk Bars,09-Jun-22,"$4,046 ",89
575,Jan Morforth,Canada,Fruit & Nut Bars,25-Jul-22,"$8,904 ",199
576,Jan Morforth,India,Smooth Sliky Salty,03-Aug-22,"$11,298 ",89
577,Rafaelita Blaksland,Australia,Manuka Honey Choco,03-Aug-22,"$4,396 ",131
578,Jehu Rudeforth,UK,Milk Bars,03-May-22,"$12,068 ",227
579,Husein Augar,Canada,After Nines,19-Jan-22,"$9,772 ",301
580,Roddy Speechley,USA,50% Dark Bites,11-Feb-22,"$10,458 ",316
581,Van Tuxwell,India,Almond Choco,14-Jun-22,"$6,426 ",390
582,Kelci Walkden,USA,50% Dark Bites,23-Mar-22,"$6,188 ",223
583,Madelene Upcott,Canada,85% Dark Bars,17-Feb-22,"$7,504 ",101
584,Dennison Crosswaite,Canada,Smooth Sliky Salty,17-Mar-22,"$1,750 ",479
585,Mallorie Waber,Australia,Spicy Special Slims,29-Jun-22,"$5,439 ",287
586,Ches Bonnell,Canada,Choco Coated Almonds,24-Aug-22,"$15,547 ",269
587,Gigi Bohling,Canada,Spicy Special Slims,04-Jul-22,"$11,956 ",277
588,Roddy Speechley,New Zealand,Almond Choco,28-Mar-22,"$2,723 ",67
589,Curtice Advani,India,Smooth Sliky Salty,19-Apr-22,"$19,327 ",135
590,Ches Bonnell,New Zealand,Mint Chip Choco,18-Jan-22,"$9,058 ",229
591,Van Tuxwell,New Zealand,Fruit & Nut Bars,17-Jan-22,"$2,996 ",88
592,Andria Kimpton,New Zealand,Mint Chip Choco,15-Feb-22,"$8,848 ",211
593,Andria Kimpton,UK,Milk Bars,11-Feb-22,"$14,336 ",293
594,Camilla Castle,USA,Manuka Honey Choco,21-Mar-22,"$16,401 ",179
595,Gunar Cockshoot,New Zealand,Almond Choco,05-Jan-22,"$5,173 ",129
596,Brien Boise,India,Raspberry Choco,30-May-22,"$6,328 ",164
597,Jehu Rudeforth,USA,99% Dark & Pure,04-Jan-22,"$2,534 ",219
598,Beverie Moffet,Australia,Fruit & Nut Bars,22-Apr-22,"$1,435 ",258
599,Gigi Bohling,Canada,Milk Bars,10-Feb-22,"$3,052 ",116
600,Dotty Strutley,India,Spicy Special Slims,12-Aug-22,$910 ,204
601,Gunar Cockshoot,USA,Organic Choco Syrup,10-Aug-22,"$2,331 ",321
602,Kelci Walkden,Australia,Raspberry Choco,07-Jun-22,$679 ,56
603,Jehu Rudeforth,India,Baker's Choco Chips,06-Jun-22,"$2,086 ",74
604,Karlen McCaffrey,New Zealand,Baker's Choco Chips,05-Apr-22,"$5,012 ",189
605,Wilone O'Kielt,USA,50% Dark Bites,18-Apr-22,"$4,501 ",131
606,Andria Kimpton,India,50% Dark Bites,31-Jan-22,"$13,482 ",15
607,Madelene Upcott,USA,Baker's Choco Chips,22-Aug-22,"$5,621 ",140
608,Jehu Rudeforth,Australia,99% Dark & Pure,25-Feb-22,"$10,486 ",198
609,Jan Morforth,Australia,Mint Chip Choco,22-Feb-22,"$17,626 ",103
610,Oby Sorrel,New Zealand,Milk Bars,12-Jan-22,"$4,494 ",187
611,Brien Boise,UK,Almond Choco,25-May-22,$105 ,125
612,Kelci Walkden,India,Smooth Sliky Salty,01-Feb-22,"$2,464 ",8
613,Rafaelita Blaksland,UK,Eclairs,27-Apr-22,"$1,379 ",70
614,Gigi Bohling,USA,Smooth Sliky Salty,22-Jul-22,"$2,583 ",126
615,Curtice Advani,New Zealand,Mint Chip Choco,26-Jan-22,"$3,220 ",265
616,Curtice Advani,USA,Mint Chip Choco,24-Aug-22,"$4,802 ",296
617,Madelene Upcott,New Zealand,Fruit & Nut Bars,18-Jan-22,"$5,677 ",21
618,Karlen McCaffrey,India,85% Dark Bars,30-Mar-22,$945 ,83
619,Ches Bonnell,Australia,Caramel Stuffed Bars,17-Jan-22,"$8,757 ",162
620,Kelci Walkden,USA,Fruit & Nut Bars,17-Feb-22,"$4,816 ",145
621,Kelci Walkden,Canada,Peanut Butter Cubes,08-Apr-22,"$7,532 ",44
622,Gigi Bohling,Canada,Drinking Coco,06-Jul-22,"$3,549 ",82
623,Husein Augar,India,Fruit & Nut Bars,04-Apr-22,"$4,340 ",226
624,Jan Morforth,New Zealand,Organic Choco Syrup,02-Mar-22,"$1,799 ",207
625,Gigi Bohling,New Zealand,Raspberry Choco,09-Aug-22,"$1,127 ",176
626,Dennison Crosswaite,Australia,Milk Bars,09-Jun-22,"$10,038 ",286
627,Ches Bonnell,UK,Caramel Stuffed Bars,02-Jun-22,"$2,926 ",300
628,Van Tuxwell,USA,Fruit & Nut Bars,05-Jul-22,"$6,279 ",235
629,Andria Kimpton,Canada,Eclairs,11-Aug-22,$308 ,125
630,Madelene Upcott,India,Choco Coated Almonds,11-Feb-22,"$3,500 ",145
631,Kelci Walkden,New Zealand,Spicy Special Slims,11-Aug-22,$658 ,65
632,Roddy Speechley,Australia,Drinking Coco,12-May-22,"$12,565 ",102
633,Wilone O'Kielt,USA,Milk Bars,15-Jul-22,"$5,012 ",93
634,Andria Kimpton,India,Organic Choco Syrup,18-Jan-22,"$3,955 ",134
635,Madelene Upcott,UK,Fruit & Nut Bars,05-Jan-22,"$8,512 ",189
636,Curtice Advani,Australia,50% Dark Bites,29-Jun-22,$504 ,232
637,Brien Boise,Canada,Raspberry Choco,14-Jun-22,"$2,800 ",45
638,Gunar Cockshoot,India,Mint Chip Choco,08-Aug-22,"$4,256 ",67
639,Dennison Crosswaite,India,Mint Chip Choco,23-Mar-22,"$13,573 ",138
640,Barr Faughny,India,Caramel Stuffed Bars,04-Jan-22,"$6,566 ",99
641,Brien Boise,India,Milk Bars,22-Feb-22,"$13,503 ",251
642,Beverie Moffet,UK,Spicy Special Slims,17-Feb-22,"$8,680 ",252
643,Barr Faughny,USA,Almond Choco,03-Feb-22,$385 ,78
644,Van Tuxwell,Canada,Raspberry Choco,17-Mar-22,"$1,267 ",130
645,Wilone O'Kielt,Australia,Baker's Choco Chips,25-Jan-22,"$2,961 ",154
646,Brien Boise,Australia,Milk Bars,27-Jul-22,"$1,981 ",52
647,Husein Augar,Australia,Fruit & Nut Bars,28-Jan-22,"$7,959 ",53
648,Madelene Upcott,Australia,Organic Choco Syrup,05-Jul-22,"$10,794 ",50
649,Van Tuxwell,India,White Choc,15-Mar-22,"$1,897 ",44
650,Gunar Cockshoot,Canada,After Nines,04-Aug-22,"$2,744 ",200
651,Jan Morforth,USA,Fruit & Nut Bars,27-Jun-22,"$4,382 ",361
652,Jan Morforth,Canada,After Nines,13-Jul-22,"$4,515 ",172
653,Barr Faughny,New Zealand,Manuka Honey Choco,24-Feb-22,"$5,474 ",239
654,Karlen McCaffrey,New Zealand,85% Dark Bars,28-Jun-22,"$6,069 ",55
655,Oby Sorrel,Australia,85% Dark Bars,30-Jun-22,"$6,944 ",27
656,Curtice Advani,Canada,Choco Coated Almonds,18-Aug-22,"$5,859 ",7
657,Kaine Padly,India,70% Dark Bites,24-Jan-22,"$12,173 ",301
658,Beverie Moffet,USA,White Choc,11-Mar-22,"$5,292 ",134
659,Ches Bonnell,New Zealand,After Nines,23-Jun-22,"$5,705 ",350
660,Husein Augar,India,Spicy Special Slims,22-Aug-22,"$2,492 ",33
661,Gunar Cockshoot,Canada,50% Dark Bites,04-Jan-22,"$3,024 ",23
662,Curtice Advani,India,Milk Bars,05-Apr-22,"$3,437 ",201
663,Beverie Moffet,India,Milk Bars,15-Apr-22,"$1,869 ",323
664,Husein Augar,Australia,White Choc,11-May-22,"$3,171 ",220
665,Andria Kimpton,Canada,Manuka Honey Choco,21-Jul-22,"$4,858 ",488
666,Jan Morforth,New Zealand,Orange Choco,11-Feb-22,"$1,225 ",84
667,Andria Kimpton,Canada,Smooth Sliky Salty,08-Jul-22,"$1,155 ",79
668,Gunar Cockshoot,UK,Raspberry Choco,11-Aug-22,"$6,811 ",344
669,Husein Augar,New Zealand,After Nines,04-Aug-22,"$6,433 ",7
670,Andria Kimpton,New Zealand,Orange Choco,14-Jun-22,"$8,169 ",88
